           * /home/dey.nath2000/esim-workspace/xor_gate/xor_gate.cir
           Transient Analysis  Sat Oct  8 18:57:02  2022
--------------------------------------------------------------------------------
Index   time            a2#branch_1_0   v1#branch       v2#branch       
--------------------------------------------------------------------------------
0	0.000000e+00	0.000000e+00	6.033147e-05	6.033147e-05	
1	1.000000e-06	-4.42746e-18	6.033147e-05	6.033147e-05	
2	2.000000e-06	-4.30059e-18	6.033147e-05	6.033147e-05	
3	4.000000e-06	-4.05413e-18	6.033147e-05	6.033147e-05	
4	8.000000e-06	-3.60239e-18	6.033147e-05	6.033147e-05	
5	1.600000e-05	-2.84200e-18	6.033147e-05	6.033147e-05	
6	3.200000e-05	-1.75674e-18	6.033147e-05	6.033147e-05	
7	6.400000e-05	-6.30239e-19	6.033147e-05	6.033147e-05	
8	1.000000e-04	-1.93098e-19	6.033147e-05	6.033147e-05	
9	1.012642e-04	9.991675e-13	6.022099e-05	6.022066e-05	
10	1.037925e-04	9.996239e-13	6.001026e-05	6.000993e-05	
11	1.088491e-04	1.000289e-12	5.960850e-05	5.960818e-05	
12	1.088511e-04	1.000339e-12	5.960835e-05	5.960802e-05	
13	1.088511e-04	1.014148e-05	5.955084e-05	5.955050e-05	
14	1.088512e-04	8.295446e-06	5.945048e-05	5.945014e-05	
15	1.088514e-04	7.671187e-06	5.962831e-05	5.962802e-05	
16	1.088516e-04	4.740247e-06	5.996424e-05	5.996391e-05	
17	1.088519e-04	5.232223e-06	5.975164e-05	5.975130e-05	
18	1.088521e-04	7.189418e-06	5.791953e-05	5.791891e-05	
19	1.088521e-04	7.866070e-07	5.905128e-05	5.905163e-05	
20	1.088521e-04	5.516412e-07	5.922807e-05	5.922738e-05	
21	1.088522e-04	3.083353e-07	5.939303e-05	5.939306e-05	
22	1.088523e-04	1.220746e-07	5.952857e-05	5.952794e-05	
23	1.088526e-04	-1.76442e-09	5.960540e-05	5.960537e-05	
24	1.088532e-04	7.623243e-09	5.960727e-05	5.960665e-05	
25	1.088540e-04	-8.49979e-09	5.960954e-05	5.960950e-05	
26	1.088557e-04	9.439679e-09	5.960600e-05	5.960539e-05	
27	1.088591e-04	-9.21151e-09	5.960958e-05	5.960953e-05	
28	1.088659e-04	9.737168e-09	5.960504e-05	5.960443e-05	
29	1.088794e-04	-9.35306e-09	5.960810e-05	5.960805e-05	
